,name,url,uri,popularity,artist,danceability,energy,valence,acousticness,instrumentalness,tempo,loudness,speechiness,liveness,label
18624,Be My Birthday (Inst.),https://open.spotify.com/embed/track/7Mkt2BILldW6AM23BpH0ld,spotify:track:7Mkt2BILldW6AM23BpH0ld,20,Ha Hyun Sang,0.863,0.14,0.182,0.956,0.93,96.982,-19.012,0.05,0.0945,4
18627,The Obsidian,https://open.spotify.com/embed/track/6txq59sHEmYV0AQ44WMz5X,spotify:track:6txq59sHEmYV0AQ44WMz5X,24,Bored Mango,0.326,0.655,0.0382,0.787,0.975,159.464,-4.614,0.0311,0.123,4
18628,Peaceful White Noise,https://open.spotify.com/embed/track/2nTNILkx5NP5aoEYa1m7zr,spotify:track:2nTNILkx5NP5aoEYa1m7zr,58,Recordings From Earth,0.115,0.529,0.0277,0.995,0.987,94.911,-29.348,0.0767,0.0868,4
18629,Moonchild Ballad - Instrumental,https://open.spotify.com/embed/track/0huNakYFuJW9ovnvdv6nOY,spotify:track:0huNakYFuJW9ovnvdv6nOY,32,Lyn,0.283,0.298,0.0391,0.923,0.888,89.108,-12.46,0.0303,0.182,4
18634,Lively Bluebottle,https://open.spotify.com/embed/track/01ZG6VNmqta0ZV23kJfvIS,spotify:track:01ZG6VNmqta0ZV23kJfvIS,59,Mari Cafferty,0.0679,0.0107,0.128,0.987,0.727,71.092,-34.299,0.0579,0.106,4
18636,Under my blanket,https://open.spotify.com/embed/track/46zdATIqD1gVof6LLRXYWB,spotify:track:46zdATIqD1gVof6LLRXYWB,46,Laya Amon,0.578,0.0737,0.996,0.996,0.964,212.131,-28.426,0.0991,0.0934,4
18638,"3 Romanzen, Op. 28: No. 2 in F-Sharp Major (Einfach)",https://open.spotify.com/embed/track/7msmTNDbP3QWWuevPxcm48,spotify:track:7msmTNDbP3QWWuevPxcm48,49,Robert Schumann,0.285,0.00453,0.0587,0.995,0.845,70.075,-29.871,0.0459,0.109,4
18643,Clear View,https://open.spotify.com/embed/track/0gTv7Ppn2q8jl4oRjo76om,spotify:track:0gTv7Ppn2q8jl4oRjo76om,13,Jost Esser,0.763,0.296,0.533,0.681,0.906,87.052,-10.296,0.0782,0.106,4
18646,432 Hz Delta,https://open.spotify.com/embed/track/1N4hq8aaeNpp6f6Q2MPwb4,spotify:track:1N4hq8aaeNpp6f6Q2MPwb4,40,Dreamlike States,0.385,0.0027,0.0393,0.992,0.973,132.933,-40.646,0.0687,0.107,4
18653,Lookin' Good,https://open.spotify.com/embed/track/1Lw0Oi8JapLOIU8bfZV7PW,spotify:track:1Lw0Oi8JapLOIU8bfZV7PW,32,Magic Sam,0.466,0.368,0.637,0.919,0.869,96.245,-16.348,0.0402,0.103,4
18670,Spa Relaxation,https://open.spotify.com/embed/track/61XlrBX0wIJNoTAzlNsCZx,spotify:track:61XlrBX0wIJNoTAzlNsCZx,44,Hang Drum Music,0.0962,0.00189,0.0974,0.962,0.884,88.333,-42.482,0.046,0.0748,4
18673,Slow Buchla Sunshine,https://open.spotify.com/embed/track/4cwLYDk0qjI7hiwVA5TVSn,spotify:track:4cwLYDk0qjI7hiwVA5TVSn,42,Above & Beyond,0.171,0.142,0.0303,0.71,0.887,122.559,-21.97,0.041,0.103,4
18693,Head and Shoulders,https://open.spotify.com/embed/track/2hvXLj1JlHLXIvTGsRL3mr,spotify:track:2hvXLj1JlHLXIvTGsRL3mr,61,Astrid Clark,0.752,0.0902,0.428,0.993,0.965,120.874,-24.513,0.101,0.0949,4
18702,Our Hearts,https://open.spotify.com/embed/track/6VL3hdKZoAfm31PttVI7bg,spotify:track:6VL3hdKZoAfm31PttVI7bg,24,김지수,0.623,0.466,0.384,0.839,0.895,89.042,-12.703,0.0293,0.11,4
18704,Come Prima,https://open.spotify.com/embed/track/2b7jJFnNPUuo6tEJsIlvbi,spotify:track:2b7jJFnNPUuo6tEJsIlvbi,39,Jeff Steinberg,0.221,0.178,0.256,0.964,0.65,177.589,-16.483,0.0345,0.151,4
18713,Increasing Obviousness,https://open.spotify.com/embed/track/0NDw9Cof8cplOb2hsd4IDU,spotify:track:0NDw9Cof8cplOb2hsd4IDU,41,Hang Massive,0.611,0.188,0.577,0.986,0.931,98.814,-17.437,0.0657,0.101,4
18725,Dreams,https://open.spotify.com/embed/track/2PmWxFKAruvuCNv6ll9sn0,spotify:track:2PmWxFKAruvuCNv6ll9sn0,51,Arto Ferrara,0.41,0.0397,0.155,0.991,0.942,125.149,-26.525,0.0394,0.105,4
18737,Tidsoptimist,https://open.spotify.com/embed/track/2qRVZJXL6ezC4fPXSZBpk7,spotify:track:2qRVZJXL6ezC4fPXSZBpk7,52,Dpsht,0.881,0.185,0.767,0.845,0.956,164.014,-13.646,0.118,0.104,4
18741,Answer With Light,https://open.spotify.com/embed/track/51bCmUlVILY4qBFkm2t0Km,spotify:track:51bCmUlVILY4qBFkm2t0Km,56,Warble,0.403,0.0289,0.185,0.991,0.949,129.766,-25.258,0.0443,0.102,4
18746,Back Again,https://open.spotify.com/embed/track/2D0IcgJIewYoqiCdQmiAm2,spotify:track:2D0IcgJIewYoqiCdQmiAm2,42,Dillon Kay,0.735,0.0625,0.202,0.951,0.656,79.944,-21.519,0.054,0.143,4
18764,"Consolations, S. 172: No. 3, Lento placido",https://open.spotify.com/embed/track/4ExtqIKNZLLmatRTVzlzFu,spotify:track:4ExtqIKNZLLmatRTVzlzFu,53,Franz Liszt,0.269,0.00229,0.0882,0.986,0.868,69.659,-39.158,0.0372,0.174,4
18766,To a New Beginning,https://open.spotify.com/embed/track/6c01DgxazfTvZJzJCsA5UG,spotify:track:6c01DgxazfTvZJzJCsA5UG,24,Bear McCreary,0.182,0.461,0.0371,0.659,0.909,119.562,-14.148,0.046,0.0441,4
