,name,url,uri,popularity,artist,danceability,energy,valence,acousticness,instrumentalness,tempo,loudness,speechiness,liveness,label
30022,SEE OFF,https://open.spotify.com/embed/track/2Imt3fMqKbdG2WGKW9ZJa7,spotify:track:2Imt3fMqKbdG2WGKW9ZJa7,37,BRAHMAN,0.42,0.978,0.551,0.00014,6.52e-05,162.055,-3.925,0.174,0.363,3
30028,"Life of Pazham (From ""Thiruchitrambalam"")",https://open.spotify.com/embed/track/6A6mDExVoAEJmc5JyVSQeK,spotify:track:6A6mDExVoAEJmc5JyVSQeK,61,Anirudh Ravichander,0.503,0.665,0.597,0.124,0.000155,174.974,-6.302,0.0801,0.175,3
30033,More Than You Know,https://open.spotify.com/embed/track/6h5PAsRni4IRlxWr6uDPTP,spotify:track:6h5PAsRni4IRlxWr6uDPTP,78,Axwell /\ Ingrosso,0.646,0.741,0.571,0.0275,0.0,123.077,-4.973,0.034,0.312,3
30038,emo girl (feat. WILLOW),https://open.spotify.com/embed/track/3tBZ60j1jQ7NJm8IjelyQe,spotify:track:3tBZ60j1jQ7NJm8IjelyQe,67,Machine Gun Kelly,0.412,0.881,0.359,0.00039,5.82e-05,165.012,-3.502,0.087,0.923,3
30042,Drunk-Dazed,https://open.spotify.com/embed/track/1wcr8DjnN59Awev8nnKpQ4,spotify:track:1wcr8DjnN59Awev8nnKpQ4,74,ENHYPEN,0.599,0.869,0.453,0.000707,0.0,132.889,-5.174,0.0618,0.0911,3
30050,Leja,https://open.spotify.com/embed/track/77kFQ06wtiKTmrgDlq4uwp,spotify:track:77kFQ06wtiKTmrgDlq4uwp,54,Lost Stories,0.561,0.555,0.158,0.147,3.05e-05,102.984,-7.815,0.0399,0.197,3
30053,CHECKMATE,https://open.spotify.com/embed/track/3h56nUjDIOi3FvMVErD4q5,spotify:track:3h56nUjDIOi3FvMVErD4q5,31,Kik5o,0.703,0.818,0.286,0.148,0.0,126.512,-3.742,0.18,0.29,3
30054,Heer,https://open.spotify.com/embed/track/1CapGmE3jqZpEATdujksnX,spotify:track:1CapGmE3jqZpEATdujksnX,55,A.R. Rahman,0.33,0.572,0.369,0.242,1.8e-06,78.267,-9.562,0.0548,0.155,3
30056,coq au vin,https://open.spotify.com/embed/track/4NERmR0700rwstJpWkFO5b,spotify:track:4NERmR0700rwstJpWkFO5b,43,MAJAN,0.784,0.791,0.318,0.0362,2.3e-06,155.968,-6.683,0.233,0.133,3
30063,The Pot,https://open.spotify.com/embed/track/1lATXTBJDHwawvT1UfxWu3,spotify:track:1lATXTBJDHwawvT1UfxWu3,67,TOOL,0.469,0.79,0.466,0.000148,0.372,107.45,-6.889,0.0391,0.282,3
30066,"Me, Myself & I",https://open.spotify.com/embed/track/40YcuQysJ0KlGQTeGUosTC,spotify:track:40YcuQysJ0KlGQTeGUosTC,76,G-Eazy,0.756,0.674,0.389,0.0184,0.0,111.995,-6.518,0.0959,0.158,3
30067,"""DEVILS NEVER CRY""(スタッフロール)",https://open.spotify.com/embed/track/3ozivYJGJGq6TSzdy8m64X,spotify:track:3ozivYJGJGq6TSzdy8m64X,56,Capcom Sound Team,0.264,0.951,0.159,0.000894,0.0442,149.99,-7.356,0.146,0.127,3
30076,'74-'75,https://open.spotify.com/embed/track/2MAVcVr2oylw2OZ3hojWYj,spotify:track:2MAVcVr2oylw2OZ3hojWYj,65,The Connells,0.53,0.59,0.43,0.183,0.00227,144.202,-9.169,0.025,0.0675,3
30082,Open (feat. Majid Jordan),https://open.spotify.com/embed/track/1VcORtwbt560HNpnDMyCCu,spotify:track:1VcORtwbt560HNpnDMyCCu,57,Khalid,0.691,0.501,0.332,0.0499,0.00011,126.93,-9.089,0.045,0.131,3
30085,It Is So,https://open.spotify.com/embed/track/4A7X1OObKEp7KAZOYrcPnr,spotify:track:4A7X1OObKEp7KAZOYrcPnr,53,Elevation Worship,0.438,0.514,0.201,0.116,0.0,146.797,-8.479,0.0318,0.73,3
30086,Wish You Were Here (feat. Khalid),https://open.spotify.com/embed/track/7up4SX2l8FAnisrUXoGupd,spotify:track:7up4SX2l8FAnisrUXoGupd,61,Lukas Graham,0.646,0.64,0.127,0.00119,0.0,105.957,-5.554,0.0304,0.138,3
30096,Song about Mike Dawner,https://open.spotify.com/embed/track/2Xq1KfkKKIejn21zEyTNp7,spotify:track:2Xq1KfkKKIejn21zEyTNp7,19,Primetime Failure,0.548,0.924,0.605,4.06e-05,0.00692,119.924,-9.231,0.0379,0.143,3
